,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Grand_R_baseflow,31.254701066316667,35.17096675999554,29.317214569451668,43.04607738534636,27.791827158999293,40.122055111217215,35.928901167138065,27.143491802394937,47.160875707804415,30.90578304619684,46.352704226266546,39.98815862261927,31.32881672010907,34.015193995581924,38.50717259647705
Turkey_R_baseflow,0.0639330375667748,0.07102560420839357,0.08218609215223192,0.12299208733042663,0.0640185233809357,0.0972923071782325,0.04035358631535464,0.09675271971528239,0.06944033804573552,0.14517380118610168,0.062330301891736314,0.12663111114094888,0.07876688126939546,0.1468165612403484,0.10002365571650634
Nanticoke_R_baseflow,0.8319809196630876,0.8311967380141261,0.8734008333399078,1.3125594342853826,0.8246721636601906,1.2342397511598195,1.0793705226836305,0.5834828189431022,,0.35544708667139135,0.9985459966045133,1.1322597125524252,0.6678683574467141,0.525297043735179,0.9512376104862131
Kettle_R_baseflow,0.8410713467734535,0.7116990385233609,0.4697087631387524,1.3161684136221115,0.7351458495063732,1.27131444688531,0.8941314286856415,0.5552740944746433,1.171379666814149,0.7617472972238922,0.9326978363030625,0.8310618197546819,0.6791633761790595,0.5894967910207989,0.6897469573232389
St_Clair_R_baseflow,4642.560070357632,4914.688549011506,4869.8204384373075,4874.259563777061,4636.8440653726275,4693.193314027703,4982.270333312832,4710.127064002694,4425.783358075842,4652.422820546555,4569.969307278088,4973.131742113485,5244.3403464807225,5674.303623188285,5685.138447544013
Sydenham_R_baseflow,5.165347690691481,6.531005479354776,6.937226129497474,12.894118277188554,8.363291068470277,14.798110522471827,7.698551904917257,3.968970067662045,18.03574661525082,7.5523855811061456,8.750651855586149,9.397090396415436,6.283707886445751,7.5322655901082305,9.405793981303654
Lynn_R_baseflow,1.301984819562576,1.584750418429495,1.4519004961356812,1.7736261576828536,1.435572461300747,1.5301628094148585,1.7486715262611383,1.265348814145215,1.68258027064935,1.3541885568798335,1.5269061229025478,1.6553964940030996,1.2833080051746284,1.1497081162732776,1.3866637283837098
Ruscom_R_baseflow,0.12819109021753905,0.11323645487977549,0.07860925708414364,0.2561361071571729,0.18581157652403293,0.20580858347637224,0.12467130672348906,0.06657337718330164,0.28231034978811226,0.12972940799912233,0.12980067995720695,0.14605773550116558,0.12278903635519171,0.16334629463620132,0.14291562257741092
Canard_R_baseflow,0.11153431316941262,0.27511775111217535,0.19126134722552726,0.21138270241265802,0.13790737733216538,0.2417552163704615,0.13478143791628383,0.07855283983862602,0.3643060649402589,0.1327925941888377,0.16110951192428902,0.2530207143234298,0.19794537223029007,0.19862868792174898,0.20466980906635765
Big_R_baseflow,5.091889335933102,5.585035100863858,5.236580421988017,6.892119705188859,4.843852443873896,5.878660347763747,6.669990629467305,4.422141156663942,6.225351242257152,4.9479411785205185,6.065983150619521,6.471024777286039,4.758009747785785,4.677269324922313,5.137641938009027
Thames_R_baseflow,30.492840064467376,30.187854446550272,24.62826537622266,38.62168925439191,28.218699645179928,43.51877515674709,36.72932891404432,24.282727249899743,56.19099607144437,30.844970742650453,40.438813919270636,36.75973664745308,29.481006546026528,32.999327395519614,35.03870629052425
Big_Otter_R_baseflow,3.764204837441254,4.709695974611246,4.290694623961744,5.928164552344428,4.412265628671061,5.31149145603784,5.13115843334854,3.3549094975592086,6.567104926182218,4.536472780294158,5.48693537268951,5.996500461525068,4.25700526928061,4.234911321919809,4.651167175272837
Niagara_R_baseflow,5025.082870598412,5429.539425370561,5514.432937521474,5475.7750714304375,5336.853539666479,5465.515155273393,5696.090551113867,5329.31220995628,5703.978584741238,5477.996604799306,5370.802837253377,5663.6339506126815,5829.5426644846775,6171.759454983534,6633.631084508229
