ActivityStartDate,USGSPCode,ResultMeasureValue
2005-02-15,0,0.132
2005-06-07,0,0.013999999999999999
2006-01-26,0,0.125
2007-06-28,0,
2007-08-01,0,0.02
2007-11-29,0,0.049
2008-10-23,0,0.02
2009-04-14,0,
2009-06-24,0,0.04
2009-08-27,0,0.016
2009-10-27,0,0.011000000000000001
2010-03-17,0,0.045
2010-05-24,0,0.13699999999999998
2010-07-22,0,0.017
2011-01-04,0,0.053
2011-11-14,0,0.017
2012-06-26,0,0.035
2012-11-13,0,0.057
2013-02-11,0,0.064
2014-02-04,0,0.027999999999999997
2014-03-24,0,0.027000000000000003
2014-07-01,0,0.012
2014-12-18,0,0.03
2015-03-18,0,0.066
2015-06-10,0,0.031
2015-09-10,0,
2015-12-22,0,0.01
2016-03-08,0,0.019
