Date,Units,Result Value
2010-09-13,mg/L,0.89
2009-08-05,mg/L,0.73
2012-08-29,mg N/L        ,0.92
2006-08-24,mg/L,0.57
2010-08-23,mg/L,0.91
2011-08-02,mg/L,0.54
2007-08-14,mg/L,0.52
2010-08-11,mg/L,0.68
2008-07-31,mg/L,0.6
2010-07-19,mg/L,0.51
2010-06-07,mg/L,0.57
2011-06-20,mg/L,1.17
2006-06-20,mg/L,1.21
2012-06-18,mg N/L        ,0.9
2008-06-18,mg/L,0.67
2009-06-15,mg/L,1.09
2007-06-11,mg/L,0.92
2010-05-05,mg/L,0.66
2010-05-21,mg/L,0.8
2012-04-09,mg N/L        ,0.89
2010-04-07,mg/L,1.32
2006-04-26,mg/L,0.98
2007-04-02,mg/L,1.12
2008-04-17,mg/L,1.08
2009-04-14,mg/L,0.67
2011-03-28,mg/L,0.59
2010-03-24,mg/L,1.31
2010-11-08,mg/L,1.61
2012-10-09,mg N/L        ,0.68
2009-10-07,mg/L,0.68
2008-10-21,mg/L,1.53
2006-10-02,mg/L,1.19
2011-10-18,mg/L,1.01
2010-10-12,mg/L,1.3
2007-10-10,mg/L,0.75
2010-10-01,mg/L,1
